year,value
1992,0.9999999999999994
1993,0.9867738619644822
1994,0.9863984274991378
1995,0.942832829397532
1996,0.936191162416187
1997,0.9172546629119956
1998,0.8736985194148552
1999,0.8162971973601223
2000,0.8075219479123495
2001,0.8004409813706629
2002,0.7919301614389966
2003,0.7912055846401614
2004,0.7482313421106335
2005,0.746552401816486
2006,0.7466064660462602
2007,0.7465523525100874
2008,0.7288602814856712
2009,0.7411608605218567
2010,0.7112251484211147
2011,0.6856953379092555
2012,0.6656300328689894
2013,0.6583775179943219
2014,0.6559931550658028
2015,0.6499999999999995
